borough,neighborhood,building_class_category,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,sale_year,age
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2746,1546,1930,420000,2017-10-24T00:00:00Z,2017,87
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2746,1546,1930,419500,2018-08-09T00:00:00Z,2018,88
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1584,1188,1941,4e+05,2018-03-22T00:00:00Z,2018,77
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1494,1188,1941,301386,2017-12-08T00:00:00Z,2017,76
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2600,1860,1960,480000,2018-07-18T00:00:00Z,2018,58
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1913,1192,1963,370000,2018-03-27T00:00:00Z,2018,55
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2856,1248,1925,4e+05,2018-04-18T00:00:00Z,2018,93
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,4280,1411,1930,705500,2018-04-09T00:00:00Z,2018,88
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2375,1028,1935,285000,2018-07-10T00:00:00Z,2018,83
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1800,1368,1925,2e+05,2018-02-23T00:00:00Z,2018,93
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1800,1372,1925,175000,2017-11-21T00:00:00Z,2017,92
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1800,1372,1925,455000,2018-06-13T00:00:00Z,2018,93
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1800,1364,1925,220000,2018-04-19T00:00:00Z,2018,93
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1806,1364,1925,250000,2018-06-28T00:00:00Z,2018,93
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1800,1305,1925,320000,2017-10-30T00:00:00Z,2017,92
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2633,1184,1930,460000,2018-06-06T00:00:00Z,2018,88
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2910,1088,1925,16000,2018-02-23T00:00:00Z,2018,93
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,2910,1088,1925,220000,2018-07-31T00:00:00Z,2018,93
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1995,1714,1959,409587,2018-05-21T00:00:00Z,2018,59
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,5000,2800,1920,485000,2017-11-13T00:00:00Z,2017,97
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,1,0,1,1710,1116,1959,449000,2018-04-05T00:00:00Z,2018,59
